Step,AgentID,Steps to fire up
6,"(17, 1)",-1
6,"(17, 4)",-1
6,"(17, 9)",-1
6,"(17, 10)",-1
6,"(17, 11)",-1
6,"(17, 12)",-1
6,"(17, 14)",-1
6,"(17, 15)",-1
6,"(17, 17)",-1
6,"(17, 19)",-1
6,"(17, 20)",-1
6,"(17, 25)",-1
6,"(17, 26)",-1
6,"(17, 27)",-1
6,"(17, 28)",-1
6,"(17, 31)",-1
6,"(17, 32)",-1
6,"(17, 36)",-1
6,"(17, 39)",-1
6,"(17, 40)",-1
6,"(17, 42)",-1
6,"(17, 43)",-1
6,"(17, 44)",-1
6,"(17, 45)",-1
6,"(17, 46)",-1
6,"(17, 48)",-1
6,"(17, 51)",-1
6,"(17, 56)",-1
6,"(17, 59)",-1
6,"(17, 61)",-1
6,"(17, 62)",-1
6,"(17, 63)",-1
6,"(17, 65)",-1
6,"(17, 67)",-1
6,"(17, 69)",-1
6,"(17, 70)",-1
6,"(17, 74)",-1
6,"(17, 75)",-1
6,"(17, 79)",-1
6,"(17, 80)",-1
6,"(17, 83)",-1
6,"(17, 86)",-1
6,"(17, 87)",-1
6,"(17, 88)",-1
6,"(17, 89)",-1
6,"(17, 92)",-1
6,"(17, 94)",-1
6,"(17, 96)",-1
6,"(18, 3)",-1
6,"(18, 4)",-1
6,"(18, 5)",-1
6,"(18, 8)",-1
6,"(18, 11)",-1
6,"(18, 15)",-1
6,"(18, 17)",-1
6,"(18, 20)",-1
6,"(18, 21)",-1
6,"(18, 24)",-1
6,"(18, 31)",-1
6,"(18, 32)",-1
6,"(18, 34)",-1
6,"(18, 37)",-1
6,"(18, 39)",-1
6,"(18, 42)",-1
6,"(18, 46)",-1
6,"(18, 47)",-1
6,"(18, 50)",-1
6,"(18, 53)",-1
6,"(18, 57)",-1
6,"(18, 58)",-1
6,"(18, 59)",-1
6,"(18, 60)",-1
6,"(18, 65)",-1
6,"(18, 74)",-1
6,"(18, 75)",-1
6,"(18, 78)",-1
6,"(18, 79)",-1
6,"(18, 81)",-1
6,"(18, 83)",-1
6,"(18, 86)",-1
6,"(18, 88)",-1
6,"(18, 90)",-1
6,"(18, 92)",-1
6,"(18, 93)",-1
6,"(18, 97)",-1
6,"(18, 99)",-1
6,"(19, 2)",-1
6,"(19, 5)",-1
6,"(19, 6)",-1
6,"(19, 10)",-1
6,"(19, 11)",-1
6,"(19, 12)",-1
6,"(19, 14)",-1
6,"(19, 15)",-1
6,"(19, 17)",-1
6,"(19, 20)",-1
6,"(19, 22)",-1
6,"(19, 26)",-1
6,"(19, 28)",-1
6,"(19, 35)",-1
6,"(19, 39)",-1
6,"(19, 44)",-1
6,"(19, 45)",-1
6,"(19, 48)",-1
6,"(19, 49)",-1
6,"(19, 50)",-1
6,"(19, 54)",-1
6,"(19, 55)",-1
6,"(19, 62)",-1
6,"(19, 68)",-1
6,"(19, 69)",-1
6,"(19, 70)",-1
6,"(19, 71)",-1
6,"(19, 73)",-1
6,"(19, 81)",-1
6,"(19, 85)",-1
6,"(19, 86)",-1
6,"(19, 87)",-1
6,"(19, 89)",-1
6,"(19, 90)",-1
6,"(19, 91)",-1
6,"(19, 96)",-1
6,"(19, 97)",-1
6,"(20, 0)",-1
6,"(20, 3)",-1
6,"(20, 6)",-1
6,"(20, 8)",-1
6,"(20, 12)",-1
6,"(20, 14)",-1
6,"(20, 17)",-1
6,"(20, 21)",-1
6,"(20, 24)",-1
6,"(20, 26)",-1
6,"(20, 28)",-1
6,"(20, 34)",-1
6,"(20, 36)",-1
6,"(20, 37)",-1
6,"(20, 38)",-1
6,"(20, 39)",-1
6,"(20, 42)",-1
6,"(20, 44)",-1
6,"(20, 51)",-1
6,"(20, 52)",-1
6,"(20, 53)",-1
6,"(20, 56)",-1
6,"(20, 60)",-1
6,"(20, 61)",-1
6,"(20, 65)",-1
6,"(20, 66)",-1
6,"(20, 69)",-1
6,"(20, 70)",-1
6,"(20, 72)",-1
6,"(20, 77)",-1
6,"(20, 78)",-1
